street,city,state,zip,phone,longitude,latitude,state_name,brand
545 Brookwood Village,Birmingham,AL,35209,(205) 238-6245,-86.7742111,33.467652,Alabama,DSW
4350 Creekside Avenue,Hoover,AL,35244,(205) 739-0219,-86.815287,33.375847,Alabama,DSW
301 The Bridge Street,Huntsville,AL,35806,(256) 327-8550,-86.674362,34.715401,Alabama,DSW
3930 B Airport Blvd,Mobile,AL,36608,(251) 460-9129,-88.1460254,30.6771837,Alabama,DSW
7228 EastChase Parkway,Montgomery,AL,36117,(334) 270-7967,-86.165871,32.359165,Alabama,DSW
1320 McFarland Blvd E Building 300 Suite310,Tuscaloosa,AL,35404,(205) 650-7000,-87.5281831,33.2005018,Alabama,DSW
10100 W. McDowell Rd.,Avondale,AZ,85392,(623) 866-7199,-112.277156,33.467334,Arizona,DSW
3411 West Frye Road,Chandler,AZ,85226,(480) 812-4533,-111.898432,33.295666,Arizona,DSW
2803 South Market Street,Gilbert,AZ,85295,(480) 722-1870,-111.74205749933623,33.298732424261786,Arizona,DSW
11895 North Oracle Road,Oro Valley,AZ,85737,(520) 742-4250,-110.93818716849091,32.422305617930704,Arizona,DSW
7555 West Bell Road,Peoria,AZ,85382,(623) 776-1445,-112.221709,33.635604,Arizona,DSW
21001 North Tatum Boulevard,Phoenix,AZ,85050,(480) 513-9348,-111.9719,33.674029,Arizona,DSW
10220-B North 90th Street,Scottsdale,AZ,85258,(480) 767-2096,-111.888678,33.57865,Arizona,DSW
1900 E. Rio Salado Parkway,Tempe,AZ,85281,(623) 463-6841,-111.9037982,33.4300958,Arizona,DSW
7191 East Broadway Boulevard,Tucson,AZ,85710,(520) 834-0071,-110.839195,32.221628,Arizona,DSW
17721 Chenal Parkway,Little Rock,AR,72223,(501) 881-6004,-92.458432,34.765619,Arkansas,DSW
2203 Promenade Blvd,Rogers,AR,72758,(479) 202-0584,-94.1736791,36.3075956,Arkansas,DSW
10540 Stockdale Highway,Bakersfield,CA,93311,(661) 473-2045,-119.1200866,35.3522491,California,DSW
431 Associated Road,Brea,CA,92821,(714) 494-1286,-117.88120061159134,33.912685405302796,California,DSW
2555 Sand Creek Road,Brentwood,CA,94513,(925) 513-8752,-121.73776924610138,37.94665957190666,California,DSW
8251 On the Mall,Buena Park,CA,90620,(714) 226-0429,-117.9896816,33.8453768,California,DSW
6510 Canoga Avenue,Canoga Park,CA,91303,(818) 264-4235,-118.5954843,34.1887275,California,DSW
4049 Grand Ave,Chino,CA,91710,(909) 315-7026,-117.7164605,33.9958356,California,DSW
2015 Birch Road,Chula Vista,CA,91915,(619) 421-8632,-116.9681564,32.6231735,California,DSW
901-B South Coast Drive,Costa Mesa,CA,92626,(714) 668-9631,-117.895744,33.688958,California,DSW
12058 Lakewood Boulevard,Downey,CA,90242,(562) 803-3474,-118.126275,33.926869,California,DSW
7896 Dublin Boulevard,Dublin,CA,94568,(925) 833-1590,-121.9324355,37.7017587,California,DSW
7415 Laguna Blvd,Elk Grove,CA,95758,(916) 525-8715,-121.41731768846512,38.42404374630719,California,DSW
2395 Iron Point Road,Folsom,CA,95630,(916) 984-0229,-121.122188,38.643962,California,DSW
43530 Christy Street,Fremont,CA,94538,(510) 623-0310,-121.969166,37.5052406,California,DSW
7923 Blackstone Ave,Fresno,CA,93720,(559) 777-6089,-119.7944305,36.8508439,California,DSW
8657 Villa La Jolla Drive,La Jolla,CA,92037,(858) 657-0314,-117.231188,32.864829,California,DSW
79150 Highway 111,La Quinta,CA,92253,(760) 564-4702,-116.28348380327225,33.70915640928185,California,DSW
7641 Carson Blvd,Long Beach,CA,90808,(714) 226-0429,-118.08412452972087,33.82951936054222,California,DSW
13450 Maxella Avenue,Marina Del Rey,CA,90292,(310) 823-0600,-118.441318,33.986249,California,DSW
3900 Sisk Road,Modesto,CA,95356,(209) 846-2682,-121.06235951185226,37.69366683192727,California,DSW
1015 Cochrane Road,Morgan Hill,CA,95037,(408) 465-2025,-121.6524918,37.1549724,California,DSW
