store_id,street,street2,city,state,zip,phone,latitude,longitude,hours,url,state_name,brand,updated
22747233,100 S Colonial Dr.,Suite 2350,Alabaster,AL,35007,+12055641095,33.22669761757409,-86.80477209397785,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/alabaster/100-s-colonial-dr.,Alabama,Five Below,2026-07-16
20321065,7200 US Highway 431,Suite 100,Albertville,AL,35950,+12566661330,34.27689063652812,-86.20484873927022,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/albertville/7200-us-highway-431,Alabama,Five Below,2026-07-16
1076890487,4782 Hwy. 280,,Alexander City,AL,35010,+12563051109,32.91640292,-85.95360937,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/alexander-city/4782-hwy.-280,Alabama,Five Below,2026-07-16
63653432,140 Covington Mall Drive,,Andalusia,AL,36420,+13342615178,31.316753936186828,-86.49632147666792,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/andalusia/140-covington-mall-drive,Alabama,Five Below,2026-07-16
1047114440,1061 Kelli Drive,Unit E,Athens,AL,35611,+12562853105,34.78411356928558,-86.93503139821213,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/athens/1061-kelli-drive,Alabama,Five Below,2026-07-16
14655569,4921 Promenade Parkway,,Bessemer,AL,35022,+12052166926,33.3355181,-86.9917713,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/bessemer/4921-promenade-parkway,Alabama,Five Below,2026-07-16
13539302,1725 Montgomery Highway,Suite 125,Birmingham,AL,35244,+12057395944,33.379853520489135,-86.80390497668645,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/birmingham/1725-montgomery-highway,Alabama,Five Below,2026-07-16
13539318,5267 Highway 280 South,Suite 100,Birmingham,AL,35242,+12054085213,33.4197657407524,-86.68360492420562,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/birmingham/5267-highway-280-south,Alabama,Five Below,2026-07-16
13539356,5463 Patrick Way,,Birmingham,AL,35235,+12056610361,33.60972467352728,-86.62456010317976,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/birmingham/5463-patrick-way,Alabama,Five Below,2026-07-16
13539376,1230 Cullman Shopping Ctr NW,,Cullman,AL,35055,+12567365496,34.18369138477791,-86.8515326482057,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/cullman/1230-cullman-shopping-ctr-nw,Alabama,Five Below,2026-07-16
13538824,6850-13 Highway 90,,Daphne,AL,36526,+12513165980,30.652568074774795,-87.90646091312817,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/daphne/6850-13-highway-90,Alabama,Five Below,2026-07-16
13539401,1241 Point Mallard Parkway,Suite 316-318,Decatur,AL,35601,+12563015402,34.55880388556821,-86.97221492212034,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/decatur/1241-point-mallard-parkway,Alabama,Five Below,2026-07-16
13539144,3500 Ross Clark Cir,Suite 710,Dothan,AL,36303,+13347925144,31.246033853943974,-85.42472093427,Mon-Sat 09:30-21:30; Sun 10:00-20:00,https://locations.fivebelow.com/al/dothan/3500-ross-clark-cir,Alabama,Five Below,2026-07-16
